DATE,EXUSUK
2005-10-01,1.7651
2005-11-01,1.7349
2005-12-01,1.7458
2006-01-01,1.7686
2006-02-01,1.7480
2006-03-01,1.7442
2006-04-01,1.7680
2006-05-01,1.8687
2006-06-01,1.8435
2006-07-01,1.8443
2006-08-01,1.8941
2006-09-01,1.8839
2006-10-01,1.8765
2006-11-01,1.9125
2006-12-01,1.9629
2007-01-01,1.9587
2007-02-01,1.9589
2007-03-01,1.9474
2007-04-01,1.9879
2007-05-01,1.9842
2007-06-01,1.9867
2007-07-01,2.0355
2007-08-01,2.0110
2007-09-01,2.0184
2007-10-01,2.0449
2007-11-01,2.0701
2007-12-01,2.0161
2008-01-01,1.9702
2008-02-01,1.9646
2008-03-01,2.0015
2008-04-01,1.9816
2008-05-01,1.9650
2008-06-01,1.9664
2008-07-01,1.9888
2008-08-01,1.8865
2008-09-01,1.7973
2008-10-01,1.6862
2008-11-01,1.5327
2008-12-01,1.4854
2009-01-01,1.4462
2009-02-01,1.4422
2009-03-01,1.4170
2009-04-01,1.4712
2009-05-01,1.5418
2009-06-01,1.6369
2009-07-01,1.6378
2009-08-01,1.6532
2009-09-01,1.6323
2009-10-01,1.6212
2009-11-01,1.6599
2009-12-01,1.6226
2010-01-01,1.6158
2010-02-01,1.5618
2010-03-01,1.5058
2010-04-01,1.5332
2010-05-01,1.4669
2010-06-01,1.4768
2010-07-01,1.5304
2010-08-01,1.5661
2010-09-01,1.5591
2010-10-01,1.5867
2010-11-01,1.5961
2010-12-01,1.5595
2011-01-01,1.5782
2011-02-01,1.6124
2011-03-01,1.6159
2011-04-01,1.6379
2011-05-01,1.6332
2011-06-01,1.6219
2011-07-01,1.6158
2011-08-01,1.6356
2011-09-01,1.5771
2011-10-01,1.5768
2011-11-01,1.5806
2011-12-01,1.5587
2012-01-01,1.5524
2012-02-01,1.5804
2012-03-01,1.5824
2012-04-01,1.6000
2012-05-01,1.5924
2012-06-01,1.5556
2012-07-01,1.5593
2012-08-01,1.5722
2012-09-01,1.6126
2012-10-01,1.6080
2012-11-01,1.5968
2012-12-01,1.6145
2013-01-01,1.5965
2013-02-01,1.5474
2013-03-01,1.5080
2013-04-01,1.5311
2013-05-01,1.5297
2013-06-01,1.5493
2013-07-01,1.5179
2013-08-01,1.5505
2013-09-01,1.5885
2013-10-01,1.6098
